name,house_id,location,xiaoqu_address,huanxianweizhi,xiangmutese,youbian,chanquan,kaifashang,jianzhu_type,jianzhu_mianji,jianzhu_jiegou,zhandi_mianji,dangqihu_shu,loudong_shu,zonghu_shu,lvhua_lv,rongji_lv,wuye_gongsi,wuye_fee,wuye_phone,wuye_type,wuye_address,gps_x,gps_y,built_time
锦绣楠郡小区网,jinxiunanjun,双流 蛟龙港,双流双流县乌江路47号,：绕城以外,"宜居生态地产,低密居所,景观居所",610200,70年,蛟龙投资发展有限公司,板塔结合 高层,150000平方米,框剪结构,40000平方米,1481户,6栋,1481户,30%,4.00,蛟龙港世纪物业,1.10元/平米·月,,住宅,5栋1单元右手边,103.91970825195312,30.61496925354004,2010-05-31
北回归线小区网,beihuiguixian028,成华 驷马桥,成华一期西林路199号，二期西林四街126...,：二至中环,"宜居生态地产,地铁沿线",610066,70年产权,成都城投地产地产有限公司,板楼 高层,227951平方米,框架,46447平方米,2292户,9栋,2292户,25%,4.91,中信物业,1.20元/平米·月,028-87872880,住宅,小区内,104.10830688476562,30.705833435058594,2009-01-01
中冶田园世界,tianyuanshijiezy,郫都区 郫县区,郫都区郫筒镇中信大道四段968号（郫县西...,：绕城以外,地铁沿线 ,611730,中冶田园世界普通住宅产权为70年,成都中冶田园世界置业有限公司,板塔结合 高层,1060000平方米,,222207平方米,8500户,13栋,8500户,37.80%,3.79,成都家园经营物业有限公司,1.70元/㎡·月,,住宅,,103.87673950195312,30.831815719604492,2013-01-30
卓锦城三期小区网,zhuojincheng,锦江 三圣乡,锦江国香街333号,：三至绕城,,610011,70年产权,成都盛吉立房地产开发有限公司,塔楼 高层,129514平方米,框架,28781平方米,,10栋,1028户,40%,4.50,1.50元/平米·月,1.50元/平米·月,028-66503663,住宅,成都市黉门街1号（黉门公馆二楼）,104.13994598388672,30.60515594482422,2009-08-04
东立清水河畔小区网,qingshuihepandl,青羊 外金沙,青羊金福南路55号,：三至绕城,宜居生态地产,610031,70年产权,成都东立置业有限公司,板楼 高层,360000平方米,框架,108000平方米,1824户,6栋,1824户,30%,3.30,成都亿新物业管理有限公司,1.50元/平米·月,028-85530281,住宅,1栋1楼,103.99382019042969,30.681671142578125,2007-01-01
鹭岛国际社区四期小区网,ludaoguojishequ028,武侯 外双楠,武侯鹭岛路36号（鹭岛国际三区旁边）,：一至二环,宜居生态地产,610041,70年产权,成都滕王阁房地产开发有限公司,塔楼 高层,750000平方米,框架,230769平方米,4300户,5栋,4300户,44%,3.25,滕王阁物业,1.90元/平米·月,028-87039778,住宅,武侯区鹭岛路33号,104.01873779296875,30.652252197265625,2012-05-02
中铁塔米亚小区网,tamiyazt,高新西区 高新西区,高新西区郫县国宁东路1188号,：三至绕城,"景观居所,宜居生态地产,打折优惠楼盘",610039,住宅70年产权，商业40产权,成都国创置业有限公司,板塔结合 小高层 高层,133722平方米,框剪,78502平方米,2013户,14栋,2013户,30%,3.80,鑫天禹物业公司,1.60元/平米·月,,住宅,,104.00060272216797,30.73594856262207,2014-10-01
现代城小区网,xianchengyuan028,青羊 浣花小区,青羊锦里西路119号,：一环以内,,610031,70年产权,四川省林凤房地产开发有限公司,塔楼 高层,89000平方米,框剪结构,12879平方米,1189户,1栋,1189户,35%,6.91,1.50元/平米·月,1.50元/平米·月,028—86633552,住宅,1号楼底商,104.0550308227539,30.659231185913086,2004-04-01
首座小区网,shouzuo028,武侯 桐梓林,武侯人民南路四段48号,：二至中环,地铁沿线,610042,70年,招商（蛇口）成都房地产开发有限责任公...,板楼 高层,70000平方米,框架,16666平方米,1044户,3栋,1044户,30.50%,4.20,成都上实锦绣管理有限公司,2.80元/平米·月,62938989,住宅,花园2栋3单元旁,104.07245635986328,30.619340896606445,2010-01-01
麓湖生态城澜语溪岸小区网,lanyuxianlhstc,天府新区 麓山,天府新区双流麓山大道二段6号,：绕城以外,"景观居所,国际化社区,宜居生态地产",610213,70年产权,成都万华新城发展股份有限公司,板塔结合 高层,69850平方米,,23000平方米,,3栋,231户,36%,2.20,成都麓山物业有限公司,3.50元/平米·月,,住宅,,104.15668487548828,30.47681427001953,2015-04-01
