name,house_id,location,xiaoqu_address,huanxianweizhi,xiangmutese,youbian,chanquan,kaifashang,jianzhu_type,jianzhu_mianji,jianzhu_jiegou,zhandi_mianji,dangqihu_shu,loudong_shu,zonghu_shu,lvhua_lv,rongji_lv,wuye_gongsi,wuye_fee,wuye_phone,wuye_type,wuye_address,gps_x,gps_y,built_time
雄飞新园紫郡小区网,xinyuanzijunxf,高新区 市一医院,高新区新园大道8号（三和广本后）,：三至绕城,经济住宅 ,610094,住宅产权70年,"科成集团公司 , 金诚物流公司",板塔结合 小高层,104349平方米,,23209平方米,784户,11栋,784户,30.50%,3.00,成都蜀信物业服务有限公司,2.18元/平方米·月,,住宅,,104.04643249511719,30.600507736206055,2015-01-01
中海城南华府小区网,chengnanhuafuzh,高新区 金融城,高新区成汉南路266号,：三至绕城,"豪华居住区,国际化社区",610094,住宅产权70年,中海振兴（成都）物业发展有限公司,板塔结合 高层,240000平方米,框剪,90000平方米,400户,9栋,1609户,30%,3.00,成都中海物业管理有限公司,3.45元/平米·月,,住宅,,104.05975341796875,30.586488723754883,2014-06-01
光明城市小区网,guangmingchengshi028,天府新区 华阳,天府新区华府大道一段996号,：绕城以外,"地铁沿线 ,打折优惠楼盘",610203,住宅产权70年,,板塔结合 高层,550000平方米,,100002平方米,980户,13栋,1283户,37%,5.50,1.60元/平米·月,1.60元/平米·月,,住宅,,104.05287170410156,30.532806396484375,2015-12-01
新景鼎南川宇,dingnanchuanyuxj,高新区 高新区,高新区地铁6号线中和站·中和中柏大道（...,：绕城以外,,610212,"新景鼎南川宇普通住宅产权为70年,SOHO产...",四川新景实业有限公司,板楼 高层 超高层,137736平方米,,19474平方米,890户,2018-05-01,890户,30%,2.49,地铁6号线中和站·中和...,2.18元/㎡·月,,住宅,,104.10513305664062,30.56183433532715,2018-05-01
中德英伦世邦,yinglunshibangzd,天府新区 华阳,高新区会龙大道与红星路南延线交汇处（...,：绕城以外,品牌地产,610213,中德英伦世邦普通住宅产权为70年,成都中德红谷投资有限公司,塔楼 高层,215000平方米,,76666平方米,1791户,8栋,1791户,55%,4.00,成都衡信英伦物业管理有限公司,2.50元/㎡·月,,住宅,,104.08692169189453,30.530603408813477,2017-12-31
威兰德小镇,weilandexiaozhen,双流 双流城区,双流双楠大道与白河路交叉口（双流新党...,：绕城以外,"小户型,地铁沿线,低密居所,景观居所,教...",610000,威兰德小镇普通住宅产权为70年,成都新时代天诚置业有限公司,塔楼 小高层,586259平方米,,132015平方米,,2栋,2636户,23%,3.30,成都代兴物业管理有限公司,2.00元/㎡·月,,住宅,,103.89281463623047,30.5755615234375,2016-06-01
御源大湖区小区网,dahuquyy,龙泉 龙泉驿,龙泉驿都大道中路900号,：绕城以外,"小户型,宜居生态地产,打折优惠楼盘",610100,住宅产权70年,成都御源置业有限公司,板塔结合 多层 小高层 高层,600000平方米,框剪,333335平方米,87户,60栋,2300户,47%,1.33,四川润无声物业管理有限公司,1.20元/平米·月,,住宅,,104.23888397216797,30.576671600341797,2012-07-01
时代豪庭小区网,shidaihaoting028,锦江 东大街,锦江芷泉街段188号（兰桂坊旁）,：一环以内,"水景地产,地铁沿线,打折优惠楼盘",610011,70年产权,龙茂房地产开发（成都）有限公司,板楼 超高层,249000平方米,框架剪力墙,70667平方米,474户,4栋,1049户,33%,4.00,成都天府时代广场物业管理有限公司,3.00元/平米·月,028-84467533,住宅,时代豪庭3号楼B1,104.09522247314453,30.652545928955078,2010-05-30
桐梓林欧城小区网,ouchengtzl,武侯 桐梓林,武侯桐梓林南路7号,：二至中环,宜居生态地产 ,610042,70年,四川鑫澜房地产开发有限责任公司,板楼 小高层,216767平方米,框架,45911平方米,1492户,10栋,1492户,30%,3.91,1.80元/平米·月,1.80元/平米·月,85924666,住宅,7栋一单元1楼,104.06815338134766,30.616825103759766,2009-04-01
水岸汇景小区网,shuianhuijing,金牛 营门口,金牛金房苑横街106号,：二至中环,"水景地产,宜居生态地产,打折优惠楼盘",610031,住宅产权70年，商业产权40年,成都顶峰房地产开发有限公司,塔楼 高层,665718平方米,,138745平方米,1040户,12栋,4600户,48%,4.00,深长城物业管理公司成都分公司,2.50元/平米·月,02882006655,住宅,大门入口左边,104.04281616210938,30.701873779296875,2016-10-01
蜀郡别墅小区网,shujunbieshu,天府新区 华阳,天府新区华府大道518号,：绕城以外,特色别墅,610225,70年,四川星慧投资,联排 叠拼,300000平方米,框架,266668平方米,1300户,57栋,1300户,65%,0.78,中铁瑞城物业,2.00元/平米·月,85622704,别墅,小区南门入口,104.06685638427734,30.533817291259766,2012-12-01
师大现代花园,xiandaihuayuansd,龙泉 大面,龙泉驿大面镇龙城大道9号（四川师范大学...,：绕城以外,"宜居生态地产,公园地产,打折优惠楼盘",610101,师大现代花园普通住宅产权为70年,成都清凤集团·现代地产,塔楼 高层 超高层,500000平方米,,166000平方米,3105户,30栋,4129户,38%,4.08,成都市金优物业服务有限责任公司,1.20元/㎡·月,,住宅,,104.20625305175781,30.578617095947266,2013-10-31
三利宅院白云渡小区网,sanlizhaiyuan,天府新区 华阳,天府新区剑南大道南段1299号,：绕城以外,"特色别墅,宜居生态地产",610200,70年,四川三利房地产有限公司,[],110767平方米,框架,158667平方米,290户,71栋,290户,40.30%,0.70,平安物业,2.00元/平米·月,028-85652568,别墅,,104.04942321777344,30.527545928955078,2008-10-01
伊泰天骄,yitaitianjiao028,锦江 攀成钢,锦江天府门廊通宝街88号 (2号线牛市口站...,：二至中环,"现房,豪华居住区,科技住宅",610065,伊泰天骄大平层产权为70年,伊泰置业（成都）有限公司,板楼 高层 超高层,310000平方米,,53890平方米,660户,3栋,660户,50%,3.90,仲量联行,5.00元/㎡·月,,住宅,,104.112548828125,30.64053726196289,2016-06-01
华润二十四城五期小区网,ershisichenghr,成华 万年场,成华成华双福二路66号,：二至中环,,610051,70年产权,华润置地（成都）发展有限公司,塔楼 高层 超高层,181800平方米,框剪,32481平方米,1265户,5栋,,48%,4.00,华润物业管理公司,3.00元/平米·月,,住宅,,104.12249755859375,30.648202896118164,2014-12-01
香楠湖小区网,xiangnanhu,双流 双流城区,双流双流涧槽中街333号,：绕城以外,"水景地产,特色别墅,花园洋房",610200,70年,成都市华兴住宅房地产开发有限公司,板塔结合 多层 高层,355782平方米,钢混、框架,86760平方米,2600户,19栋,2600户,35%,4.10,成都双流华兴住宅物业发展有限公司,1.40元/平米·月,028-85827576,住宅,二栋,103.91438293457031,30.564250946044922,2009-12-30
森宇音乐花园小区网,yinyuehuayuansy,温江 光华大道,温江温泉大道一段558号,：绕城以外,宜居生态地产,611130,70年,成都森宇实业集团有限公司,板楼 多层,666667平方米,框架,584796平方米,510户,29栋,510户,63.80%,1.14,森宇物业,0.80元/平米·月,028-82606688,住宅,,103.88047790527344,30.69126319885254,2004-01-01
麓山国际碧湖岸小区网,bihuanlsgj,天府新区 麓山,天府新区麓山大道二段6号,：绕城以外,"宜居生态地产,地铁沿线",610225,70年,成都万华房地产开发有限公司,独栋,60000平方米,框架,157894平方米,88户,129栋,88户,46.82%,0.38,成都麓山物业管理有限公司,3.50元/平米·月,028-85761000,别墅,小区大门旁,104.10067749023438,30.476139068603516,2007-11-01
中洲中央城邦小区网,zhongyangchengbangzz,锦江 攀成钢,锦江东二环沙河畔通桂路7号(沙河公园旁...,：二至中环,江景地产,610066,中洲中央城邦普通住宅产权为70年,成都中洲锦江房地产有限公司,板塔结合 高层,102229平方米,,37633平方米,660户,7栋,660户,30%,3.00,中洲物业,3.00元/平方米·月,,住宅,,104.12407684326172,30.6439266204834,2015-12-01
欧洲印象小区网,ouzhouyinxiang,双流 机场路,双流航空港机场路（家园国际酒店旁）,：绕城以外,"景观居所,宜居生态地产,打折优惠楼盘",610225,住宅70年 商业40年,四川中房鸿都汇友置业有限公司,板塔结合 高层,200000平方米,,46023平方米,2103户,6栋,2103户,30%,4.20,成都怡美物业有限公司,1.60元/平方米·月,,住宅,,104.00949096679688,30.581987380981445,2012-12-01
佳兆业君汇上品小区网,junhuishangpinjzy028,天府新区 南湖公园,天府新区南湖大道360号,：绕城以外,"景观居所,公园地产,打折优惠楼盘",610213,住宅产权70年,成都南兴银基房地产开发有限公司,板塔结合 高层 超高层,1040000平方米,框剪,182758平方米,1420户,25栋,6550户,35%,4.20,成都佳兆业物业管理有限公司,1.60元/平米·月,028-85640083,住宅,10栋1单元1楼,104.05889129638672,30.49846649169922,2013-12-01
麓山国际半月湾小区网,banyuewanlsgj,天府新区 麓山,天府新区麓山大道二段6号,：绕城以外,,610225,70年产权,成都万华房地产开发有限公司,塔楼 高层,11400平方米,框剪,6000平方米,368户,4栋,,34%,1.90,成都麓山物业管理有限公司,2.20元/平米·月,,住宅,,104.10840606689453,30.48503875732422,2013-01-01
蓝光富丽东方小区网,fulidongfang028,成华 成渝立交,成华和美东路8号,：三至绕城,"豪华居住区,宜居生态地产,地铁沿线,景观...",610066,70年产权,蓝光集团,塔楼 高层,286868平方米,框架,60175平方米,2748户,9栋,2748户,30.05%,4.77,嘉宝物业,1.50元/平米·月,028-84080051,住宅,小区中庭位置,104.1607666015625,30.637624740600586,2009-01-01
华宇阳光水岸小区网,yangguangshuianhy,成华 驷马桥,成华洪山南路99号,：二至中环,"水景地产,公园地产,地铁沿线 ",610051,70年产权,成都华宇业瑞地产开发有限公司,塔楼 高层,218000平方米,框架,38000平方米,2206户,10栋,2206户,25%,5.74,华宇物业管理公司,1.80元/平米·月,028-83523966,住宅,4栋2单元,104.09715270996094,30.70827865600586,2009-02-25
玺印上院小区网,xiyinshangyuan,龙泉 龙泉驿,龙泉北泉路188号,：绕城以外,,610100,70年,成都市明阳房地产开发有限公司,板楼 多层,286024平方米,砖混,135334平方米,1578户,48栋,1578户,30%,2.50,深长城物业管理公司成都分公司,1.50元/平米·月,,住宅,,104.26326751708984,30.57370948791504,2006-01-01
时代尊邸小区网,shidaizundi,锦江 东大街,锦江东大街芷泉段88号,：一环以内,"豪华居住区,地铁沿线,打折优惠楼盘",610065,住宅70年产权,龙茂房地产开发（成都）有限公司,板塔结合 超高层,550000平方米,框剪,70667平方米,474户,9栋,1049户,35%,6.00,成都天府时代广场物业管理有限公司,3.00元/平米·月,028-84467533,住宅,3栋1楼,104.09330749511719,30.65298080444336,2011-05-30
麓山国际圆石滩小区网,lushanguojiyuanshitan,天府新区 麓山,天府新区麓山大道二段6号,：绕城以外,,610225,70年,成都万华房地产开发有限公司,独栋,728036平方米,框架,1733420平方米,99户,122栋,99户,27.40%,0.42,成都麓山物业管理有限公司,3.50元/平米·月,,别墅,,104.09315490722656,30.483327865600586,2005-01-01
锦蓉佳苑天阔小区网,jinrongjiayuan,锦江 三圣乡,锦江香樟大道百日红中路506号（临近200...,：三至绕城,"豪华居住区,公园地产,地铁沿线",610066,70年产权,四川成都开成置业有限公司,塔楼 高层,320000平方米,框剪,64886平方米,2155户,10栋,2155户,70%,4.00,成都安吉物业服务有限责任公司,1.50元/平米·月,02862125566,住宅,小区3栋底楼,104.15399932861328,30.608226776123047,2013-09-06
黄金海岸小区网,huangjinhaian2028,天府新区 华阳,天府新区新希望大道300号,：绕城以外,,610200,70年,四川宏城房地产有限公司,板楼 多层,127516平方米,框剪,138538平方米,761户,39栋,761户,68%,0.92,小区物业,0.70元/平米·月,85213555,住宅,,104.06829071044922,30.53055191040039,2003-01-01
元益花园,yuanyihuayuan,青羊 外光华,青羊光华大道一段866号（西三环成温大道...,：三至绕城,,610074,元益花园普通住宅产权为70年,兴元地产,板塔结合 高层,380000平方米,,72036平方米,4000户,8栋,4000户,30%,5.00,鑫元物业,1.60元/㎡·月,,住宅,,103.98062133789062,30.676067352294922,2014-07-01
华润二十四城四期小区网,ershisichenghr,成华 万年场,成华双成三路17号,：二至中环,,610051,70年,华润置地(成都)发展有限公司,塔楼 高层,90000平方米,框架,30000平方米,890户,8栋,890户,35%,3.00,华润置地,2.80元/平米·月,,住宅,,104.124267578125,30.653474807739258,2016-06-15
蓝山美树小区网,lanshanmeishu028,天府新区 麓山,天府新区麓山大道一段136号,：绕城以外,宜居生态地产,610213,70年产权,成都三佳房地产有限公司,板楼 多层 小高层,50000平方米,框架,45871平方米,398户,103栋,398户,42%,1.08,1.50元/平米·月,1.50元/平米·月,028-85774422、85761501,住宅,21栋1单元,104.08184814453125,30.492055892944336,2009-03-01
齐盛艺境小区网,qishengyijing,高新区 天府软件园,高新区天府大道1号,：绕城以外,地铁沿线,610213,70年产权,成都市东盛房屋开发有限责任公司,塔楼 高层,97000平方米,框剪,44880平方米,300户,3栋,300户,30.28%,2.16,四川盛德物管公司,1.20元/平米·月,028-85635021,住宅,齐盛艺境2栋一单元1楼,104.07742309570312,30.5377140045166,2008-01-06
翡翠半岛国际社区小区网,fcbdgjsq,高新区 中和镇,高新区老成仁路6号（红星路南延线与领馆...,：绕城以外,"水景地产,国际化社区,打折优惠楼盘",610016,住宅产权为70年,成都弘发实业有限公司,板塔结合 高层,96255平方米,框剪,20973平方米,775户,7栋,775户,38%,3.71,四川华玮物业管理物业有限公司,1.50元/平米·月,,住宅,,104.09010314941406,30.54408073425293,2011-12-30
四海逸家华府小区网,huafushyj,锦江 三圣乡,锦江锦江区牡丹街673号,：三至绕城,,610066,70年产权,香港中渝置地 (1224.HK)/国嘉地产,塔楼 高层 超高层,410020平方米,框剪,136673平方米,816户,3栋,,60%,3.00,成都国嘉物业管理有限公司,1.50元/平米·月,028-84709898,住宅,小区1栋物业中心,104.14604949951172,30.605045318603516,2013-12-01
傲城,aocheng,郫都区 犀浦,郫都区犀浦校园路东段111号（地铁2号线...,：绕城以外,"景观居所,地铁沿线",610097,傲城普通住宅产权为70年,万宸地产,板楼 高层,600000平方米,,114667平方米,5010户,17栋,5010户,30%,4.00,仁和春天物管,1.60元/㎡·月,,住宅,,104.00027465820312,30.757545471191406,2015-12-31
南郡7英里小区网,nanjun7yingli,高新区 天府软件园,高新区姐儿堰路152号,：绕城以外,特色别墅,610016,70年,成都裕鑫房地产开发建设公司,联排 双拼,90000平方米,框剪,100000平方米,266户,58栋,266户,40%,0.80,翰林物业,2.00元/平米·月,,别墅,,104.0811767578125,30.535131454467773,2009-01-15
富丽锦城小区网,fulijincheng,成华 驷马桥,成华西林一街18号,：二至中环,,610066,70年产权,蓝光集团,板楼 高层,200000平方米,框剪,36000平方米,1800户,8栋,1800户,30%,5.56,1.20元/平米·月,1.20元/平米·月,028-83531006,住宅,9栋里面,104.10310363769531,30.704172134399414,2006-01-01
逸都国际小区网,yiduguoji,高新区 大源,高新区长乐路456号,：绕城以外,,610225,70年产权,上海盛源房地产（集团）有限公司,板塔结合 高层,184267平方米,框架,46066平方米,,10栋,3562户,35%,4.00,盛源物业,1.50元/平米·月,028-84622547,住宅,2栋物业办公室,104.05172729492188,30.547199249267578,2011-06-01
华润二十四城六期小区网,ershisichenghr,成华 万年场,成华双成三路15号,：二至中环,,610066,70年产权,华润置地（成都）发展有限公司,塔楼 高层,2100000平方米,框剪,721944平方米,1691户,6栋,20000户,48%,4.00,华润物业管理公司,3.30元/平米·月,028-81696666,住宅,1栋物业办公室,104.12364196777344,30.64973258972168,2016-02-18
紫檀小区网,zitan028,武侯 桐梓林,武侯桐凤路39号 (原人民南路四段38号）,：二至中环,"宜居生态地产,地铁沿线",610042,70年,成都千和物业发展有限公司,板楼 高层,280000平方米,框架,37333平方米,428户,3栋,428户,25%,5.90,第一太平戴维斯,3.80元/平米·月,,住宅,,104.07196807861328,30.624521255493164,2009-08-01
水漪袅铜小区网,shuiyiniaotong,武侯 航空路,武侯新希望路2号,：二至中环,,610042,70年,成都龙威实业有限责任公司,板楼 小高层,85000平方米,框剪,35133平方米,988户,5栋,988户,33.50%,2.42,成都勤信物业管理公司,1.70元/平米·月,66503663、66265668,住宅,13栋楼下,104.07933044433594,30.6190242767334,2005-05-01
汇锦城小区网,huijincheng028,高新区 新会展,高新区高新区盛安街77号,：绕城以外,宜居生态地产,610094,住宅70年产权 商业部分40年产权,成都裕丰汇锦置业有限公司,板塔结合 低层 超高层,27000平方米,框剪,52530平方米,1149户,7栋,1149户,30%,4.99,成都凯旋物业服务有限责任公司,2.70元/平米·月,,住宅,,104.06050109863281,30.563119888305664,2014-11-30
宏达世纪丽景,shijilijinghd,天府新区 华府,天府新区华阳双华路4段688号（三江公园...,：绕城以外,"低密居所,宜居生态地产,公园地产",610200,宏达世纪丽景普通住宅产权为70年,成都宏达众成房地产开发有限公司,板塔结合 小高层,230000平方米,,97332平方米,500户,7栋,1802户,30%,1.80,四川宏达世纪物业服务有限公司,1.90元/㎡·月,,住宅,,104.02049255371094,30.52069664001465,2015-12-01
银泰泰悦湾小区网,taiyuewan,高新区 天府长城,高新区红星路南延线和锦城大道交汇处,：三至绕城,"景观居所,地铁沿线,打折优惠楼盘",610094,70年产权,成都银城置业有限公司,板楼 高层,166636平方米,框剪,44869平方米,232户,9栋,812户,30%,3.14,蜀信物业公司,2.60元/平米·月,028-83199616,住宅,4栋2楼,104.08087158203125,30.582672119140625,2013-12-01
中海翠屏湾小区网,cuipingwanzh,高新区 神仙树,高新区泰和二街333号,：中至三环,"宜居生态地产,地铁沿线",610093,70年产权,中海兴业（成都）发展有限公司,板楼 高层,240000平方米,框架,63000平方米,600户,2011-07-01,2046户,30%,3.00,泰和二街333号,2.10元/平米·月,028-85320111,住宅,小区正门物业办公室,104.05805969238281,30.60677146911621,2011-07-01
东立光华杏林小区网,guanghuaxinglindl,青羊 万家湾,青羊同辉南路256号,：三至绕城,宜居生态地产,610031,70年产权,成都东立置业有限公司,塔楼 高层,216304平方米,框剪结构,36604平方米,2216户,7栋,2216户,35%,5.91,成都亿新物业管理有限公司,1.50元/平米·月,028-85530281,住宅,1栋物业办公室,103.97542572021484,30.676279067993164,2010-06-01
翡翠城二期小区网,feicuicheng,锦江 东光,锦江华润路2号（临翡翠城商业街）,：二至中环,宜居生态地产,610011,70年,华润置地(成都)发展有限公司,板楼 高层,180000平方米,框架,75000平方米,672户,20栋,672户,35%,2.40,华润物业管理公司,2.20元/平米·月,85270202,住宅,15栋楼下,104.09698486328125,30.618364334106445,2005-06-10
保利星座,baolixinyu028,高新区 大源,高新区剑南大道拓新西三街46号（伊藤旗...,：绕城以外,"小户型,地铁沿线,酒店式公寓,宜居生态地...",610094,"保利星座项目酒店式公寓产权为40,普通住...",保利（成都）房地产开发有限公司,塔楼 高层 超高层,576693平方米,,132952平方米,1424户,6栋,5497户,40%,3.22,保利物业成都分公司,3.00元/㎡·月,,住宅,,104.05126190185547,30.552711486816406,2014-03-01
保利城,baolicheng,新都 大丰镇,新都北新大道东（大天路旁）,：三至绕城,"复合地产,地铁沿线,打折优惠楼盘",610500,保利城四期中央郡项目普通住宅产权为70...,保利地产,塔楼 高层 超高层,720000平方米,,138667平方米,2648户,34栋,5490户,50%,3.00,保利物业,2.35元/㎡·月,,住宅,,104.09524536132812,30.76276969909668,2015-06-01
锦江城市花园二期小区网,jinjiangchengshihuayuan,锦江 三圣乡,锦江海棠路608号,：三至绕城,宜居生态地产,610011,70年产权,四川省深合能地产有限公司,塔楼 超高层,700000平方米,框架,116666平方米,3800户,6栋,3800户,45%,4.22,合能物业管理有限公司,1.50元/平米·月,028-86241905,住宅,小区东门6栋,104.1519775390625,30.601924896240234,2010-10-01
首创国际城小区网,guojichengsc,成华 成渝立交,成华和美西路8号（东客站附近）,：三至绕城,"水景地产,地铁沿线,打折优惠楼盘",610051,70年产权,首创置业成都有限公司,塔楼 高层,61358平方米,框剪,50984平方米,520户,14栋,3176户,30%,4.99,北京金网络物业管理有限公司成都分公司,1.80元/平米·月,15184495676,住宅,二栋一楼物业中心,104.15856170654297,30.635204315185547,2012-11-30
绿地圣路易名邸小区网,shengluyimingdild,武侯 簇桥,武侯武侯大道铁佛段金履三路288号,：三至绕城,"地铁沿线,花园洋房,打折优惠楼盘",610045,住宅产权70年,上海绿地集团成都公司,塔楼 小高层,270000平方米,框剪,79920平方米,677户,15栋,2200户,45%,2.78,成都嘉诚新悦物业管理有限公司,2.50元/平米·月,028-85958628,住宅,1栋楼下,103.99136352539062,30.611549377441406,2012-08-01
澳龙名城小区网,aolongmingcheng,锦江 攀成钢,锦江牛沙北路171号,：二至中环,"水景地产,宜居生态地产,公园地产,地铁沿...",610011,70年产权,四川龙旺投资有限公司,塔楼 小高层 高层,250000平方米,框剪,54000平方米,223户,12栋,223户,30%,4.63,四川澳龙物业管理公司,1.28元/平米·月,028-84555166,住宅,10栋一楼,104.11803436279297,30.634384155273438,2009-11-30
中大君悦金沙六期小区网,junyuejinshazd,青羊 内金沙,青羊金祥路58号,：中至三环,,610031,70年产权,中大房地产集团/四川思源科技开发有限公...,塔楼 高层,147688平方米,框架,42317平方米,1296户,3栋,1296户,45%,3.49,成都市合力物业,1.80元/平米·月,,住宅,蜀辉路19号,104.00443267822266,30.68172836303711,2012-12-01
仁和春天国际花园小区网,chuntianguojihuayuanrh,高新区 市一医院,高新区府城大道西段399号（天府新谷侧）,：三至绕城,"宜居生态地产,地铁沿线,打折优惠楼盘",610094,住宅70年产权 商业40年,成都高新区仁和春天置业有限公司,板楼 高层,546953平方米,框剪,99446平方米,542户,8栋,1792户,30%,5.50,仁和春天物管,3.60元/平米·月,028-85321111,住宅,南门入口物业办公室,104.05907440185547,30.592548370361328,2014-09-01
上东阳光三期小区网,shangdongyangguang028,龙泉 洪河,龙泉龙泉梧桐路60号,：绕城以外,,610100,70年,成都豪达房地产开发有限公司,塔楼 高层,133700平方米,,32820平方米,1386户,18栋,,30.10%,3.00,成都和盟物业管理有限公司,1.80元/平米·月,,住宅,,104.18009185791016,30.624431610107422,2010-10-30
阳光金沙小区网,yangguangjinsha,金牛 蜀汉路,金牛同怡路15号,：中至三环,,610036,70年产权,成都市集建房屋开发有限责任公司,板楼 多层,70000平方米,砖混,39106平方米,612户,15栋,612户,40%,1.79,嘉宝物业,0.80元/平米·月,028-87532056,住宅,9栋楼下,104.01791381835938,30.696487426757812,2006-11-01
华阳滨河花园小区网,binghehuayuanhy,天府新区 华阳,天府新区华阳伏龙路二段117号,：绕城以外,,610200,70年,成都市三和房地产开发有限责任公司,板楼 多层,200000平方米,砖混和钢混,120000平方米,1500户,56栋,1500户,48.90%,1.67,成都三和锦阳物业有限公司,0.65元/平米·月,028-85569632,住宅,门卫室,104.06802368164062,30.52367401123047,2005-01-01
交大智能五期小区网,jiaodazhineng,金牛 交大路,金牛星河路89号,：二至中环,教育地产,610036,70年,西南交通大学房地产开发公司,板楼 多层,,框架,,1200户,30栋,1200户,58%,3.20,成都交大智能物业管理有限公司,0.65元/平米·月,,住宅,,104.05351257324219,30.714683532714844,2001-01-01
华府金沙小区网,huafujinsha,青羊 内金沙,青羊蜀源路1号(金沙西单商场旁),：中至三环,"豪华居住区,国际化社区",610031,70年产权,成都市浩源房地产实业有限责任公司,塔楼 高层,105000平方米,框剪,24000平方米,831户,6栋,831户,49%,5.00,成都加联圣维思物业管理有限公司,1.80元/平米·月,028-61292001,住宅,华府金沙一栋一单元1楼,104.00916290283203,30.681114196777344,2008-12-10
四海逸家蓝钻小区网,lanzuanshyj,锦江 三圣乡,锦江锦江区牡丹街692号,：三至绕城,,610066,70年产权,香港中渝置地 (1224.HK)/国嘉地产,塔楼 高层 超高层,410020平方米,框剪,136673平方米,,5栋,,60%,3.00,成都国嘉物业管理有限公司,3.00元/平米·月,028-85718007,住宅,小区1栋1楼物业中心,104.14729309082031,30.605417251586914,2013-12-01
龙湖弗莱明戈小区网,fulaiminggelh028,郫都区 郫县区,郫都区高专路1号（郫县新政府对面）,：绕城以外,"低密居所,地铁沿线,打折优惠楼盘",611700,住宅产权年限70年。,成都西玺置业有限公司,板楼 塔楼 多层 高层,130000平方米,框剪,133334平方米,576户,24栋,5000户,30%,4.00,成都龙湖物业服务有限公司,1.90元/平米·月,82009393,住宅,弗莱明戈一期24栋,103.89942932128906,30.80167579650879,2012-01-01
蜀都中心小区网,shuduzhongxin,高新区 大源,高新区德赛一街138号（天府大道新会展对...,：绕城以外,"豪华居住区,地铁沿线,打折优惠楼盘",610094,住宅产权70年,成都蜀都银泰置业有限公司,板楼 高层,260000平方米,,22011平方米,600户,3栋,600户,16%,10.30,第一太平戴维斯,2.60元/平方米·月,,住宅,,104.07212829589844,30.557945251464844,2014-02-01
天府城,tianfuchengjy,高新区 天府软件园,高新区天府大道南段海昌北路109号（极地...,：绕城以外,"地铁沿线,复合地产,酒店式公寓",610213,"金地天府城普通住宅产权为70年,酒店式公...","成都中奥华实业有限公司 , 金地商置西南...",塔楼 高层 超高层,1380000平方米,,183335平方米,3512户,3栋,4592户,35%,5.00,深圳市金地物业管理有限公司,2.50元/㎡·月,,住宅,,104.0806884765625,30.50260353088379,2018-06-01
绿地中心云玺468小区网,yunxi468lvdi,锦江 三圣乡,锦江东大街延线地铁2号线洪河站口,：三至绕城,复合地产,610066,住宅产权70年,绿地集团蜀峰房地产开发有限公司,塔楼 高层,482593平方米,,66591平方米,3000户,6栋,3000户,32.56%,4.93,成都嘉诚新悦物业管理有限公司,2.70元/平方米·月,,住宅,,104.1634521484375,30.60975456237793,2017-09-01
首创东公元小区网,donggongyuansc,龙泉 龙泉驿,龙泉龙泉驿区北泉路909号（世纪广场旁）,：绕城以外,"宜居生态地产,地铁沿线,打折优惠楼盘",610100,70年住宅产权,成都首创驿都置业有限公司,板塔结合 高层,402958平方米,框架结构,74666平方米,1400户,14栋,3296户,70%,4.20,北京金网络物业管理有限公司成都分公司,1.60元/平米·月,,住宅,,104.24449157714844,30.57855224609375,2012-11-15
汇城港湾小区网,huichenggangwan,高新区 中和镇,高新区高新区中和大道一段86号,：绕城以外,,610000,70,,板楼 塔楼 高层,,,,,3栋,,30%,2.00,0.00元/平米·月,,,住宅,,104.0864486694336,30.552106857299805,2009-10-01
保利心语三期小区网,baolixinyu028,高新区 大源,高新区荣华南路1700号,：绕城以外,,610094,70年,保利（成都）房地产开发有限公司,塔楼 高层,1037316平方米,框剪,420000平方米,1758户,7栋,1758户,40%,2.90,保利物业成都分公司,3.00元/平米·月,028-85326160,住宅,1栋1单元楼下,104.04863739013672,30.55177879333496,2012-10-01
首创天禧68,tianxi68sc,成华 建设路伊藤,成华二环路东一段内侧（距离桃蹊路口站...,：一至二环,"现房,江景地产",610057,首创天禧68#普通住宅产权为70年,首创置业成都有限公司,塔楼 高层 超高层,312899平方米,,50835平方米,1995户,1栋,1995户,25%,4.49,首万誉业物业服务有限公司,2.99元/㎡·月,,住宅,,104.11195373535156,30.685062408447266,2017-10-30
金辉悦府,jinhuiyuefu028,高新西区 高新西区,高新西区百草路777号（西芯大道与迪康大...,：三至绕城,"小户型,地铁沿线 ",610097,"金辉MOMO公馆普通住宅产权为70年,LOFT产...",成都金辉居业置业有限公司,塔楼 高层,207189平方米,,48565平方米,561户,7栋,561户,30%,2.90,北京金辉锦江物业服务有限公司成都分公司,2.18元/㎡·月,,住宅,,103.96888732910156,30.750581741333008,2015-12-01
恒大城小区网,hengdacheng028,温江 南熏大道,温江凤溪大道南段555号,：绕城以外,"宜居生态地产,打折优惠楼盘",611130,70年产权,恒大地产集团成都有限公司,板塔结合 小高层 高层,620000平方米,框剪,170000平方米,520户,76栋,4900户,40%,3.64,广州金碧物业成都有限公司,1.60元/平米·月,028-88423254,住宅,恒大城53栋4楼,103.85847473144531,30.685365676879883,2008-07-19
鑫苑名家小区网,xinyuanmingjia028,锦江 三圣乡,锦江牡丹街595号,：三至绕城,复合地产,610011,住宅70年产权，公寓40年产权,鑫苑置业（成都）有限公司,塔楼 高层,500000平方米,框架,104602平方米,7000户,9栋,7000户,50%,4.78,鑫苑物业,1.80元/平米·月,028-62029003,住宅,公寓新青年4楼,104.1480941772461,30.603818893432617,2010-01-01
